id;form_id;title;explanation;oninvoice;answers;mutations;validators;default;rowtype;fieldtype
74;2;Vroegboekkorting;" 	
Wanneer u het gehele factuurbedrag binnen 10 werkdagen en voor 1 februari met iDEAL betaald heeft u recht op de vroegboekkorting á € 15,-, wilt u hier gebruik van maken? ";Vroegboekkorting;"[""Ja (- u20ac 15,-)"",""Nee""]";"[{""mutation"":""-15"",""type"":""price"",""resource"":"""",""vat"":""6""},{""mutation"":"""",""type"":""price"",""resource"":"""",""vat"":""21""}]";"[{""validate"":""62"",""0"":{""validator"":""in"",""value"":""2""}}]";0;question;radio
75;2;Vroegboekkorting;" 	
Wanneer u het gehele factuurbedrag binnen 10 werkdagen en voor 1 februari met iDEAL betaald heeft u recht op de vroegboekkorting á € 15,-, wilt u hier gebruik van maken? ";Vroegboekkorting;"[""Ja (- u20ac 15,-)"",""Nee""]";"[{""mutation"":""-15"",""type"":""price"",""resource"":"""",""vat"":""6""},{""mutation"":"""",""type"":""price"",""resource"":"""",""vat"":""21""}]";"[{""validate"":""62"",""0"":{""validator"":""in"",""value"":""1""}}]";0;question;radio
76;2;Vroegboekkorting;" 	
Wanneer u het gehele factuurbedrag binnen 10 werkdagen en voor 1 februari met iDEAL betaald heeft u recht op de vroegboekkorting á € 30,-, wilt u hier gebruik van maken? ";Vroegboekkorting;"[""Ja (- u20ac 30,-)"",""Nee""]";"[{""mutation"":""-30"",""type"":""price"",""resource"":"""",""vat"":""6""},{""mutation"":"""",""type"":""price"",""resource"":"""",""vat"":""21""}]";"[{""validate"":""60"",""0"":{""validator"":null,""value"":""0""}}]";0;question;radio
77;2;Vroegboekkorting;" 	
Wanneer u het gehele factuurbedrag binnen 10 werkdagen en voor 1 februari met iDEAL betaald heeft u recht op de vroegboekkorting á € 15,-, wilt u hier gebruik van maken? ";Vroegboekkorting;"[""Ja (- u20ac 15,-)"",""Nee""]";"[{""mutation"":""-15"",""type"":""price"",""resource"":"""",""vat"":""6""},{""mutation"":"""",""type"":""price"",""resource"":"""",""vat"":""21""}]";"[{""validate"":""60"",""0"":{""validator"":null,""value"":""2""}}]";0;question;radio
78;2;Vroegboekkorting;" 	
Wanneer u het gehele factuurbedrag binnen 10 werkdagen en voor 1 februari met iDEAL betaald heeft u recht op de vroegboekkorting á € 15,-, wilt u hier gebruik van maken? ";Vroegboekkorting;"[""Ja (- u20ac 15,-)"",""Nee""]";"[{""mutation"":""-15"",""type"":""price"",""resource"":"""",""vat"":""6""},{""mutation"":"""",""type"":""price"",""resource"":"""",""vat"":""21""}]";"[{""validate"":""60"",""0"":{""validator"":null,""value"":""1""}}]";0;question;radio
79;2;Vroegboekkorting;" 	
Wanneer u het gehele factuurbedrag binnen 10 werkdagen en voor 1 februari met iDEAL betaald heeft u recht op de vroegboekkorting á € 30,-, wilt u hier gebruik van maken? ";Vroegboekkorting;"[""Ja (- u20ac 30,-)"",""Nee""]";"[{""mutation"":""-30"",""type"":""price"",""resource"":"""",""vat"":""6""},{""mutation"":"""",""type"":""price"",""resource"":"""",""vat"":""21""}]";"[{""validate"":""61"",""0"":{""validator"":null,""value"":""0""}}]";0;question;radio
80;2;Vroegboekkorting;" 	
Wanneer u het gehele factuurbedrag binnen 10 werkdagen en voor 1 februari met iDEAL betaald heeft u recht op de vroegboekkorting á € 15,-, wilt u hier gebruik van maken? ";Vroegboekkorting;[];[];"[{""validate"":""apptype"",""0"":{""validator"":""in"",""value"":""66599""}}]";0;question;radio
81;2;Vroegboekkorting;" 	
Wanneer u het gehele factuurbedrag binnen 10 werkdagen en voor 1 februari met iDEAL betaald heeft u recht op de vroegboekkorting á € 15,-, wilt u hier gebruik van maken? ";Vroegboekkorting;[];[];"[{""validate"":""apptype"",""0"":{""validator"":""in"",""value"":""66599""}}]";0;question;radio
82;2;"Wil je graag bij iemand in de groep of op de kamer";;;"[""Nee, ik kom alleen"",""Ja""]";"[{""mutation"":"""",""type"":""price"",""resource"":"""",""vat"":""21""},{""mutation"":"""",""type"":""price"",""resource"":"""",""vat"":""21""}]";[];0;question;radio
83;2;"Met wie wil je samen?";;;[];[];"[{""validate"":""82"",""0"":{""validator"":null,""value"":null}}]";0;question;input
